,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61,T62,T63,T64,T65,T66,T67,T68,T69,T70,T71,T72,T73,T74,T75,T76,T77,T78,T79
IA627,8.30371674361e-07,8.30371674361e-07,8.30371674361e-07,8.30371674361e-07,8.30371674361e-07,8.30371674361e-07,8.30371674361e-07,8.30371674361e-07,8.30371674361e-07,0.00656076659913,8.30371674361e-07,8.30371674361e-07,8.30371674361e-07,8.30371674361e-07,8.30371674361e-07,8.30371674361e-07,8.30371674361e-07,8.30371674361e-07,8.30371674361e-07,8.30371674361e-07,8.30371674361e-07,8.30371674361e-07,8.30371674361e-07,8.30371674361e-07,8.30371674361e-07,8.30371674361e-07,8.30371674361e-07,8.30371674361e-07,8.30371674361e-07,8.30371674361e-07,8.30371674361e-07,8.30371674361e-07,8.30371674361e-07,8.30371674361e-07,0.0192654532169,8.30371674361e-07,0.0128715913243,8.30371674361e-07,0.00108031354834,8.30371674361e-07,0.000332979041419,8.30371674361e-07,8.30371674361e-07,8.30371674361e-07,0.00124638788322,8.30371674361e-07,8.30371674361e-07,8.30371674361e-07,8.30371674361e-07,8.30371674361e-07,8.30371674361e-07,0.0120412196499,8.30371674361e-07,8.30371674361e-07,8.30371674361e-07,8.30371674361e-07,8.30371674361e-07,0.00240890822732,8.30371674361e-07,8.30371674361e-07,8.30371674361e-07,8.30371674361e-07,8.30371674361e-07,0.00614558076195,8.30371674361e-07,0.00548128342246,8.30371674361e-07,8.30371674361e-07,8.30371674361e-07,8.30371674361e-07,8.30371674361e-07,0.185173713754,0.00182764805527,0.104959810011,0.0863594845053,0.0239155345933,0.00531520908759,8.30371674361e-07,0.524961802903,8.30371674361e-07
1448853,1.98792138964e-07,1.98792138964e-07,1.98792138964e-07,1.98792138964e-07,1.98792138964e-07,1.98792138964e-07,1.98792138964e-07,1.98792138963e-07,1.98792138964e-07,0.0372538456339,1.98792138964e-07,0.00964161753188,1.98792138963e-07,1.98792138963e-07,1.98792138963e-07,1.98792138964e-07,0.0297395027811,1.98792138964e-07,1.98792138964e-07,1.98792138963e-07,1.98792138964e-07,1.98792138964e-07,1.98792138964e-07,1.98792138964e-07,3.99572199317e-05,1.98792138963e-07,1.98792138963e-07,1.98792138964e-07,1.98792138964e-07,0.0344707556884,0.054310211157,1.98792138963e-07,1.98792138964e-07,0.00373749100466,0.0563975286161,1.98792138964e-07,0.0204559098915,1.98792138964e-07,1.98792138968e-07,0.00799164277848,1.98792138964e-07,1.98792138964e-07,1.98792138964e-07,1.98792138964e-07,0.00642118488067,1.98792138963e-07,1.98792138963e-07,0.0846657707768,1.98792138968e-07,0.000954401059165,0.0110132832907,0.317391727862,1.98792138963e-07,1.98792138963e-07,1.98792138963e-07,1.98792138963e-07,1.98792138964e-07,1.98792138963e-07,0.0124048282635,1.98792138963e-07,1.98792138968e-07,1.98792138963e-07,1.98792138964e-07,0.0162613957594,1.98792138968e-07,0.0357231461639,1.98792138964e-07,0.139890226981,1.98792138964e-07,1.98792138968e-07,0.00101403870085,1.98792138964e-07,1.98792138964e-07,0.0400369355794,0.0135180642417,0.0666353237728,2.00780060353e-05,1.98792138964e-07,1.98792138964e-07,1.98792138964e-07
12481028,1.05396290051e-05,1.05396290051e-05,1.05396290051e-05,1.05396290051e-05,1.05396290051e-05,1.05396290051e-05,1.05396290051e-05,1.05396290051e-05,1.05396290051e-05,0.00528035413153,1.05396290051e-05,1.0539629005e-05,1.05396290051e-05,1.05396290051e-05,0.0948672006745,1.05396290051e-05,0.137025716695,1.05396290051e-05,1.05396290051e-05,1.05396290051e-05,1.05396290051e-05,1.05396290051e-05,0.0274135750422,1.05396290051e-05,1.05396290051e-05,1.05396290051e-05,1.05396290051e-05,1.05396290051e-05,1.05396290051e-05,1.05396290051e-05,1.05396290051e-05,0.0253056492411,1.05396290051e-05,1.05396290051e-05,1.0539629005e-05,1.05396290051e-05,0.0495467959528,1.05396290051e-05,1.05396290051e-05,1.0539629005e-05,1.05396290051e-05,1.05396290051e-05,0.00738827993255,1.05396290051e-05,0.560718802698,1.05396290051e-05,1.05396290051e-05,1.05396290051e-05,1.05396290051e-05,1.05396290051e-05,1.05396290051e-05,1.05396290051e-05,1.05396290051e-05,0.00106450252951,1.05396290051e-05,1.05396290051e-05,1.05396290051e-05,1.05396290051e-05,1.0539629005e-05,1.05396290051e-05,1.05396290051e-05,1.05396290051e-05,1.05396290051e-05,1.05396290051e-05,0.00528035413153,1.05396290051e-05,1.05396290051e-05,1.05396290051e-05,1.05396290051e-05,1.05396290051e-05,1.0539629005e-05,1.05396290051e-05,1.05396290051e-05,1.05396290051e-05,0.08538153457,1.05396290051e-05,1.0539629005e-05,1.05396290051e-05,1.05396290051e-05,1.05396290051e-05
11693518,2.10614995788e-05,2.10614995788e-05,2.10614995788e-05,2.10614995788e-05,2.10614995788e-05,2.10614995788e-05,0.00212721145746,2.10614995788e-05,2.10614995788e-05,2.10614995788e-05,2.10614995788e-05,2.10614995788e-05,2.10614995788e-05,2.10614995788e-05,0.122177759056,2.10614995788e-05,0.0842670598147,2.10614995788e-05,2.10614995788e-05,2.10614995788e-05,2.10614995788e-05,2.10614995788e-05,0.562363100253,2.10614995788e-05,2.10614995788e-05,2.10614995788e-05,2.10614995788e-05,2.10614995788e-05,2.10614995788e-05,2.10614995788e-05,2.10614995788e-05,0.0231887110362,2.10614995788e-05,2.10614995788e-05,2.10614995788e-05,2.10614995788e-05,0.0231887110362,2.10614995788e-05,2.10614995788e-05,0.00212721145746,2.10614995788e-05,2.10614995788e-05,2.10614995788e-05,2.10614995788e-05,0.094797809604,2.10614995788e-05,2.10614995788e-05,2.10614995788e-05,2.10614995788e-05,2.10614995788e-05,2.10614995788e-05,2.10614995788e-05,2.10614995788e-05,2.10614995788e-05,2.10614995788e-05,2.10614995788e-05,2.10614995788e-05,2.10614995788e-05,2.10614995788e-05,2.10614995788e-05,2.10614995788e-05,2.10614995788e-05,2.10614995788e-05,2.10614995788e-05,0.0484625105307,2.10614995788e-05,2.10614995788e-05,2.10614995788e-05,2.10614995788e-05,2.10614995788e-05,2.10614995788e-05,2.10614995788e-05,2.10614995788e-05,2.10614995788e-05,0.0358256107835,2.10614995788e-05,2.10614995788e-05,2.10614995788e-05,2.10614995788e-05,2.10614995788e-05
100153138,4.20556817226e-06,4.20556817226e-06,4.20556817226e-06,4.20556817226e-06,4.20556817226e-06,4.20556817226e-06,4.20556817226e-06,4.20556817226e-06,4.20556817226e-06,4.20556817226e-06,4.20556817226e-06,4.20556817226e-06,4.20556817226e-06,4.20556817226e-06,0.148460762049,4.20556817226e-06,0.197245352847,4.20556817226e-06,4.20556817226e-06,4.20556817226e-06,4.20556817226e-06,4.20556817226e-06,4.20556817226e-06,4.20556817226e-06,4.20556817226e-06,4.20556817226e-06,4.20556817226e-06,4.20556817226e-06,4.20556817226e-06,4.20556817226e-06,4.20556817226e-06,0.0122003532677,4.20556817226e-06,4.20556817226e-06,4.20556817226e-06,4.20556817226e-06,4.20556817226e-06,4.20556817226e-06,4.20556817226e-06,0.0349104213979,4.20556817226e-06,4.20556817226e-06,0.0168264782572,4.20556817226e-06,0.442009420473,4.20556817226e-06,4.20556817226e-06,0.01640592144,4.20556817226e-06,4.20556817226e-06,4.20556817226e-06,4.20556817226e-06,4.20556817226e-06,4.20556817226e-06,4.20556817226e-06,4.20556817226e-06,4.20556817226e-06,4.20556817226e-06,4.20556817226e-06,4.20556817226e-06,4.20556817226e-06,4.20556817226e-06,4.20556817226e-06,4.20556817226e-06,0.0269198418706,4.20556817226e-06,4.20556817226e-06,0.0021069896543,4.20556817226e-06,4.20556817226e-06,4.20556817226e-06,4.20556817226e-06,4.20556817226e-06,4.20556817226e-06,0.0429010009252,4.20556817226e-06,0.0597232736143,4.20556817226e-06,4.20556817226e-06,4.20556817226e-06
7701232,2.74334875095e-07,2.74334875095e-07,2.74334875101e-07,2.74334875095e-07,2.74334875095e-07,2.74334875095e-07,2.74334875095e-07,2.74334875095e-07,2.74334875095e-07,0.127758025667,0.0224957340927,0.0272691609194,0.000603811060085,0.273512144805,2.74334875095e-07,2.74334875095e-07,0.0547849488914,0.000713545010123,2.74334875095e-07,2.74334875095e-07,0.00389582956123,0.00606307507448,0.00880642382544,2.77078223846e-05,2.74334875095e-07,0.00548697183678,2.74334875095e-07,2.74334875095e-07,2.74334875095e-07,0.0610123505561,0.0124002106892,2.74334875095e-07,0.00798341920015,2.74334875095e-07,0.00271618959832,2.74334875095e-07,0.0410133381616,2.74334875095e-07,2.74334875095e-07,2.74334875095e-07,0.00836748802528,0.00976659588827,0.00485600162406,0.0144851557399,0.0138267520397,2.74334875095e-07,0.00960199496321,0.0329478928338,2.74334875095e-07,2.74334875095e-07,2.77078223846e-05,2.74334875095e-07,0.00389582956123,2.74334875095e-07,2.74334875095e-07,2.74334875095e-07,2.74334875095e-07,0.0029356574984,0.0145400227149,0.0391752944985,2.77078223846e-05,2.74334875095e-07,2.74334875095e-07,2.74334875095e-07,0.0313567505583,2.74334875095e-07,2.74334875095e-07,0.0707238051345,2.74334875095e-07,2.74334875095e-07,2.74334875095e-07,2.74334875095e-07,2.74334875095e-07,2.74334875095e-07,0.0441133222502,0.0136895846021,0.0139090525022,2.74334875095e-07,2.74334875095e-07,0.0151984264152
1858001,2.24015340571e-07,2.24015340571e-07,0.00537659218903,2.24015340571e-07,2.24015340571e-07,2.2401534057e-07,2.2401534057e-07,2.2401534057e-07,2.24015340571e-07,0.172312823982,0.00237478662539,0.00833359468456,2.2401534057e-07,0.0953187514281,2.2401534057e-07,2.2401534057e-07,0.0512773354719,2.24015340571e-07,2.26255493976e-05,2.24015340571e-07,2.2401534057e-07,2.24015340571e-07,0.0284053691997,2.2401534057e-07,2.24015340571e-07,2.24015340571e-07,2.2401534057e-07,2.24015340571e-07,0.00192675594425,0.03718677055,0.00954327752364,0.000403451628368,2.2401534057e-07,0.0205200292116,0.0127242953597,2.24015340571e-07,0.0563400821688,2.24015340571e-07,2.24015340571e-07,2.24015340571e-07,0.00109789918414,0.00896083763816,2.24015340571e-07,0.299217514415,2.2401534057e-07,2.2401534057e-07,2.24015340575e-07,0.0191759371682,2.24015340575e-07,2.24015340571e-07,2.24015340571e-07,2.2401534057e-07,2.2401534057e-07,2.2401534057e-07,2.24015340571e-07,2.2401534057e-07,0.00450293236081,2.24015340571e-07,2.24015340575e-07,2.2401534057e-07,2.2401534057e-07,2.24015340571e-07,2.24015340571e-07,2.2401534057e-07,0.00573501673395,2.2401534057e-07,2.2401534057e-07,0.0833787337757,2.24015340571e-07,2.2401534057e-07,2.24015340571e-07,2.2401534057e-07,0.0231858117644,2.2401534057e-07,0.0237234485818,0.00961048212582,0.0105513465562,2.24015340571e-07,2.2401534057e-07,0.00878162536571
9724697,4.17836609172e-07,4.17836609172e-07,4.17836609172e-07,4.17836609172e-07,4.17836609172e-07,4.17836609172e-07,4.17836609172e-07,4.17836609172e-07,0.0726622041717,0.0185523632839,4.17836609172e-07,0.000627172750368,4.17836609172e-07,0.00488910616393,0.0138308096002,4.17836609172e-07,0.0454192572536,4.17836609172e-07,4.17836609172e-07,4.17836609172e-07,4.17836609172e-07,4.17836609172e-07,0.0643054719882,4.17836609172e-07,4.17836609172e-07,4.17836609172e-07,4.17836609172e-07,4.17836609172e-07,4.17836609172e-07,0.00547407741677,4.17836609172e-07,0.00137927864688,0.00121214400321,4.17836609172e-07,0.0350569093462,4.17836609172e-07,0.000125768819361,4.17836609172e-07,4.17836609172e-07,0.0162124782725,0.00860785198556,4.17836609172e-07,0.00885855395106,4.17836609172e-07,4.17836609172e-07,4.17836609172e-07,4.17836609172e-07,4.17836609172e-07,4.17836609172e-07,4.17836609172e-07,4.17836609172e-07,0.503493531889,4.17836609172e-07,4.17836609172e-07,4.17836609172e-07,4.17836609172e-07,4.17836609172e-07,4.17836609172e-07,0.0314217308464,4.17836609172e-07,4.17836609172e-07,4.17836609172e-07,4.17836609172e-07,4.17836609172e-07,4.17836609172e-07,4.17836609172e-07,4.17836609172e-07,0.0665617896778,0.00238208650889,4.17836609172e-07,0.0150007521059,4.17836609172e-07,4.17836609172e-07,4.17836609172e-07,0.0230649986629,4.17836609172e-07,0.0569933313277,4.17836609172e-07,4.17836609172e-07,0.00384451464099
7689516,3.50707376779e-07,3.50707376779e-07,3.50707376779e-07,3.50707376779e-07,3.50707376779e-07,3.50707376779e-07,3.50707376779e-07,3.50707376779e-07,3.50707376779e-07,0.107877939805,3.50707376779e-07,3.50707376779e-07,3.50707376779e-07,0.00227994865644,0.0377013937111,3.54214450547e-05,0.112542347916,0.000351058084156,3.50707376779e-07,3.50707376779e-07,3.50707376779e-07,3.50707376779e-07,3.50707376779e-07,3.50707376779e-07,3.50707376779e-07,3.50707376779e-07,3.50707376779e-07,3.50707376779e-07,3.50707376779e-07,3.50707376779e-07,0.00420883922872,3.50707376779e-07,0.00364770742588,3.50707376779e-07,3.50707376779e-07,3.50707376779e-07,0.0709484530298,3.50707376779e-07,3.50707376779e-07,0.00508560767067,0.00119275578843,3.50707376779e-07,3.50707376779e-07,3.50707376779e-07,0.0128713114352,0.353688740189,3.50707376779e-07,0.0599011706612,3.50707376779e-07,3.50707376779e-07,3.50707376779e-07,3.50707376779e-07,3.50707376779e-07,3.50707376779e-07,0.00578702242423,3.50707376779e-07,0.0271100309324,0.0442245509192,0.011468481928,3.50707376779e-07,0.00526096135906,0.0240588767544,3.50707376779e-07,3.50707376779e-07,0.0305469632248,3.50707376779e-07,3.50707376779e-07,0.0105215720107,3.50707376779e-07,3.50707376779e-07,3.50707376779e-07,3.50707376779e-07,3.50707376779e-07,0.0276711627352,3.50707376779e-07,0.00522589062138,0.0280569408497,3.50707376779e-07,3.50707376779e-07,0.00771591299651
11724840,0.00999155095801,2.23519629494e-07,2.23519629494e-07,0.0102150705875,2.23519629494e-07,2.23519629494e-07,2.23519629494e-07,2.23519629494e-07,0.153871136463,2.23519629499e-07,6.72794084777e-05,2.23519629494e-07,0.0152442622511,2.23519629494e-07,0.175798412117,2.23519629494e-07,2.23519629494e-07,0.0176135703237,2.23519629494e-07,2.23519629494e-07,0.00746577914472,2.23519629494e-07,2.23519629494e-07,2.23519629494e-07,2.23519629494e-07,0.183599247186,2.23519629494e-07,2.23519629494e-07,0.00485059947965,2.23519629494e-07,2.23519629494e-07,0.001162525593,0.00587878977532,2.23519629494e-07,2.23519629494e-07,0.214064972686,2.23519629494e-07,2.23519629494e-07,2.23519629494e-07,0.0460452671954,0.0504709558593,2.23519629494e-07,2.23519629494e-07,2.23519629494e-07,2.23519629494e-07,2.23519629494e-07,2.23519629494e-07,0.00502941518324,2.23519629494e-07,2.23519629499e-07,2.23519629494e-07,2.23519629494e-07,2.23519629494e-07,0.00143074914839,2.23519629494e-07,2.23519629494e-07,2.23519629494e-07,2.23519629494e-07,2.23519629499e-07,0.00335301796204,2.23519629494e-07,2.23519629494e-07,2.23519629494e-07,2.23519629494e-07,0.0131431777339,2.23519629494e-07,2.23519629499e-07,0.00721990755228,0.0210781245809,2.23519629494e-07,2.23519629494e-07,2.23519629494e-07,2.23519629494e-07,2.23519629494e-07,0.0521026491546,2.23519629494e-07,2.23519629494e-07,0.000290799037972,2.23519629494e-07,2.23519629494e-07
